Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_L,GEBV_External_immature_fruit_color_green,GEBV_Fruit_external_color_a,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_maximum_width,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Flowering_time,GEBV_Immature_fruit_external_color_b
GPC000760,Core,-2.318254056,-4.273540494,-8.112066035,0.338379258,-31.37841041,1.942657344,1.484962129,5.603275968,-1.005640387,-3.421883233,112.8361432,0.976682083,-26.4366823,1.75615503,346.9036107,-34.67440605,7.87946964,-6.283036285
GPC001360,Core,0.104822866,-11.61969434,32.91293392,-1.969313047,1.824839557,-0.441958038,-4.947515524,-0.082420071,-0.005640387,-2.555867906,3.8457728,0.05397677,-30.74052845,-0.021163348,22.23527724,68.06892729,-1.847426902,9.686963703
GPC001460,Core,-0.055433545,1.162356941,-7.902899369,0.434533104,-4.997586502,0.404195808,-4.854809951,2.079914147,-0.605640387,-3.821199473,19.01231129,0.796943521,11.49024074,1.452030633,6.414277662,-19.77773939,11.22903485,-8.736369615
GPC002420,Core,-2.164407903,-9.465848179,-9.0737327,0.415302335,-9.75216044,0.86573427,-0.067630468,5.806516711,-1.005640387,-3.668411012,135.4616061,0.643348751,-28.00975923,3.98196852,433.6102775,-34.22440606,1.507617799,-10.75136961
GPC002860,Core,-1.664407903,-9.850463568,-5.088732705,0.184533105,-3.424910444,0.279195808,-5.947170694,2.21757993,-0.278367661,-4.145178252,18.83922111,0.271368075,-10.34822078,2.644221268,38.31861089,-17.17440607,-4.899789606,-0.428036295
GPC003010,Core,0.327899788,-9.004309721,-5.920399366,0.484533104,-3.331102753,-0.395804192,2.071763467,-0.334771166,-0.005640388,3.172157166,9.000318273,0.532237639,-23.10975923,0.23610386,-127.861389,-14.74107271,-8.940530349,-5.611369614
GPC003040,Core,-1.632100211,-2.214836044,-9.285399364,0.484533104,-5.627641213,0.529195808,10.13539983,2.124319743,-0.577068959,-0.156933741,76.93850005,0.103666211,-6.965022403,1.899261754,378.681944,-31.58940606,6.947704929,-11.42136961
GPC003050,Core,-0.295177135,-2.235078957,-1.655399366,0.338379258,-2.553910443,0.204195807,10.1766224,-0.110006275,-1.005640387,7.113787258,15.6968073,-0.412206804,5.706907406,0.53575973,167.5686107,-12.66607273,-0.800530358,2.54363038
GPC003120,Core,-1.802869441,3.115690268,-1.945399369,0.146071566,-3.951410441,0.096503499,10.07317412,0.841717861,-0.005640388,2.645511399,31.72784177,-0.134429027,7.390240741,1.288452038,257.9986107,-21.49773939,4.442802969,2.02196371
GPC003150,Core,-0.956715597,0.611074889,-0.268732699,-0.123159203,-2.707410442,-0.211188807,7.745587914,0.603786827,-0.096549479,2.406545882,25.35197972,-0.162206804,5.671009964,1.12075973,246.4302774,-19.11607272,2.3224326,4.265297049
