Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_DASanthesis,GEBV_DASmaturity,GEBV_DATanthesis,GEBV_DATmaturity,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_green,GEBV_greenb0,GEBV_greenb1,GEBV_greenb2,GEBV_greenb3,GEBV_growthrateplant,GEBV_growthrateplot,GEBV_heighmaxfinal,GEBV_height,GEBV_heightfinal,GEBV_heightmax,GEBV_huebin0,GEBV_huebin1,GEBV_huebin5,GEBV_huedaily,GEBV_huemean,GEBV_leafanglebright,GEBV_leafanglecold,GEBV_leafanglecoldminushot,GEBV_leafangledaily,GEBV_leafangleHot,GEBV_leafanglelow,GEBV_leafanglelowminusbright,GEBV_leafanglemean,GEBV_leafanglemidnight,GEBV_leafanglemidnightminusnoon,GEBV_leafanglenoon,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareafinalplant,GEBV_leafareafinalplot,GEBV_leafareafinalprojectedplant,GEBV_leafareafinalprojectedplot,GEBV_leafareaindex,GEBV_leafareaindexfinal,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_leafinclinationbright,GEBV_leafinclinationcold,GEBV_leafinclinationdark,GEBV_leafinclinationhot,GEBV_leafinclinationmean,GEBV_leafinclinationmidnight,GEBV_leafinclinationnoon,GEBV_leafminushobotemp,GEBV_leaftemp,GEBV_lightpendaily,GEBV_lightpenetrationfinal,GEBV_lightpenmeanplant,GEBV_lightpenmeanplot,GEBV_ndvibin0,GEBV_ndvibin1,GEBV_ndvibin2,GEBV_ndvibin3,GEBV_ndvibin4,GEBV_ndvibin5,GEBV_ndvimean,GEBV_npcimean,GEBV_pollenactivity,GEBV_pollenconcentration,GEBV_psrimean,GEBV_yield
GPC046740,0.030605447,0.039335768,0.128458951,0.132982512,0.684020469,0.20740829,-0.00906192,-1.095085352,-1.509119739,4.253220397,2.909909078,-0.045114573,0.105694086,0.084020966,-0.047859685,-0.041484393,-0.04110817,-0.03543863,0.19051355,0.430775973,0.214492081,0.122983871,-0.257782768,-0.065123072,0.423853795,0.315457225,0.026009814,-0.055630168,-0.093421795,-0.119616487,-1.452919761,-0.031662808,-0.074956571,-0.346049302,-0.059199485,-0.054536988,0.424870496,-0.057209578,-0.121093581,-0.098907023,-0.726756761,-0.067023627,-0.175067001,-0.168231327,-0.009377991,-0.069632445,-0.202473533,-0.207059708,0.067711872,0.087044197,0.074754155,0.033464068,0.060757349,0.057853968,0.060830436,0.000653404,8.39083177051811e-06,1.317408111,0.269961183,-0.043559451,0.013178302,-2.438674483,-0.620133931,0.029872889,0.007341967,-9.34E-05,0.041860118,0.022802391,-0.216766668,-0.088839263,0.623318743,-0.731753506,0.028075646
GPC003010,-0.342340778,-0.340863181,-0.157384591,-0.116358854,-1.040233518,-0.180337173,-0.030861062,-0.523218317,2.184731948,0.141106848,-0.082358549,-0.0710526,0.226408356,-0.134110516,-0.105649683,0.015995347,-0.319249801,-0.319017928,-0.247197205,-0.444275731,-0.412587659,-0.290715032,0.900722547,-0.037547607,0.960829702,0.315457223,-0.066270047,-0.037821055,-0.026424277,-0.207312617,-0.269203293,-0.137401282,0.009709755,-0.240877726,-0.050765294,-0.037863051,-0.380071337,-0.035354248,-0.315876839,-0.313417215,-3.067668284,-0.305027011,-0.389087723,-0.385693807,-0.240513705,-0.297460536,-0.38795182,-0.389637853,0.012885435,0.00808618,-0.018024604,-0.051814484,0.005531437,0.0182472,0.013373638,0.000890587,9.1685884958525e-06,0.305490184,0.0252739,-0.036636395,-0.115817385,-0.287474194,0.209446206,0.269706992,0.010263062,-0.080904651,0.010609819,-0.011493492,0.441498084,-0.112536725,-0.314358429,0.658289918,-0.252151568
GPC060540,-0.317805817,-0.315851098,0.691038384,0.069147726,4.365363047,0.106745921,-0.578257435,-1.136118434,-1.599265254,1.496444029,2.227437246,0.035753858,5.7773619464653e-05,-0.022113237,-0.012868481,0.049506122,-0.31211326,-0.311742547,-0.354407145,-0.570940639,-0.481994393,-0.165839182,0.064560349,0.009671215,0.365970254,0.315457225,-0.004368577,-0.013529817,0.021059365,-0.178379569,-0.99423686,-0.117961737,0.072438104,-0.333772872,-0.025124195,-0.028766905,0.716736081,-0.032689379,-0.289273821,-0.287253933,-2.538877216,-0.251266723,-0.348964484,-0.344928945,-0.104695522,-0.243691773,-0.374190927,-0.376093267,-0.004223351,-0.019884309,-0.052726025,0.003712233,0.015129574,0.017167085,0.021137599,-0.00023707,1.11266903584408e-05,0.073897889,-0.232541519,-0.295432648,-0.367043759,-2.229134905,-0.537926875,-0.075113476,-0.054208064,-0.104455648,0.009138523,0.010784998,0.208380512,-0.1128788,-0.183506404,-0.182164516,-0.172290623
GPC020380,-0.319606698,-0.32321291,0.081432255,-0.004656299,-0.173723738,-0.008726248,-0.350974803,-1.057292591,-1.539653907,1.191157524,2.154891427,-0.001717236,-0.047025088,0.061574111,-0.003893987,-0.026159703,-0.289554331,-0.293661557,-0.290901174,-0.377763348,-0.356668143,-0.565903297,0.264042515,0.12294325,0.228467116,0.315457225,-0.080056166,-0.024922884,-0.108462499,-0.37627516,-3.313940581,-0.038906048,-0.062244796,-0.472912424,-0.043979842,-0.033688084,0.234924958,-0.036109392,-0.289121349,-0.27764423,-2.90467353,-0.297141375,-0.396325331,-0.401848894,-0.138529901,-0.28993561,-0.377101944,-0.369898837,0.020387695,0.084478034,0.046689495,-0.02501699,0.003965864,0.029849777,0.032826001,0.000886173,1.04778514655306e-05,0.305026624,0.02714121,-0.16831504,-0.228002217,-0.02610825,0.600795048,0.837842988,0.297161561,-0.208194516,-0.084414934,-0.079482682,0.882892826,-0.155922254,0.621103518,2.208120113,-0.098025095
GPC106660,-0.233777932,-0.294444495,0.460899228,-0.082395551,2.753978583,-0.128795208,-0.4442211,-0.609483703,-1.284678355,0.194777773,0.403135164,0.047204023,-0.184754942,-0.095959596,0.033851159,0.101358492,-0.210717233,-0.266886136,-0.225503876,-0.224547499,-0.221038619,-0.266553477,-0.481704957,-0.075739195,0.260985177,0.315457224,0.012090805,0.055421116,-0.104677369,0.03004467,1.032203476,0.108603691,-0.109784657,-0.041324555,-0.016909776,0.00779242,-0.235786993,0.009293501,-0.266879532,-0.190397485,-2.158323998,-0.289983188,-0.294622864,-0.376698847,-0.214974823,-0.291765078,-0.323506697,-0.240715839,-0.061021045,0.071465223,0.074925902,0.020971342,-0.017871785,0.001887972,-0.001000909,0.00068822,6.17431249240875e-06,0.002143574,-0.082810836,-0.048602016,-0.298249742,-0.869745133,-0.63295385,-0.467750279,-0.194274246,-0.033663455,0.061825937,0.010771138,-0.367199016,-0.10817858,0.506735059,-0.832529967,-0.175339198
GPC118010,-0.13305469,-0.138894517,0.112415403,0.095251659,0.46732968,0.147562103,0.898747594,-0.85678319,-0.126507616,0.580601571,0.572102746,0.103107307,-0.297279802,-0.005095295,0.152535024,0.080194779,-0.152965445,-0.159706754,-0.110070913,-0.185943812,-0.1029137,-0.305469917,-0.522196543,0.129318385,0.024762252,-2.396054836,-0.002170689,-0.140541691,-0.147800196,-0.086550522,0.772167164,0.043629352,-0.102081453,-0.354349587,-0.05719822,-0.059419303,-0.02344835,-0.061790846,-0.161100866,-0.133938351,-1.125721589,-0.132954328,-0.172278211,-0.192177121,-0.081439845,-0.13643389,-0.212773709,-0.189896015,0.173554308,0.108639852,0.073138431,0.046381169,0.050759756,0.057683487,0.057610183,0.000970573,4.44176041837944e-06,-0.246376123,-0.034578956,-0.017815469,-0.052730685,-0.730258231,-0.274397465,-0.172951152,-0.005920484,0.054385278,0.019962037,0.008316133,0.239552259,0.102034723,-0.420586065,0.211046231,-0.039177826
GPC128800,-0.22368125,-0.219896169,-0.127768832,-0.013173939,-0.764987333,-0.022108555,-0.461954274,0.151491815,-0.703434652,0.141482428,0.040228076,-0.122606745,0.523033173,-0.104026554,-0.171254949,-0.059949454,-0.212726285,-0.210414529,-0.230234779,-0.504480451,-0.341425155,-0.043679085,0.501292214,-0.201346211,1.480546249,-2.162600026,0.017509371,-0.026770263,-0.009250702,0.095826051,-0.393375115,0.106691421,0.010228089,0.047380241,0.018288005,0.019292771,-0.386345215,0.025010418,-0.102623945,-0.103682216,-1.143981248,-0.109441927,-0.137115916,-0.129662978,-0.107637689,-0.099145809,-0.104773417,-0.110867256,0.004058741,0.002530865,-0.011521079,0.010566411,-0.030797553,-0.028728121,-0.03248889,3.57141528800954e-05,4.68127291624718e-06,-0.550174711,-0.121563018,-0.100703127,-0.176934806,-1.315753805,-0.694071704,-0.57751111,-0.253390352,0.031490798,0.111871319,0.036988249,-0.478026285,-0.110488497,-0.338835701,-1.332054213,-0.187542991
GPC128500,0.01173061,0.008711455,0.389327972,0.111882482,2.461451917,0.175672613,-0.351174276,-0.622717062,-0.796904615,0.165519201,0.123852676,-0.038923605,0.15652687,0.126580919,-0.022723183,-0.075707351,-0.043767747,-0.048702942,-0.036266421,-0.05682067,-0.060166461,-0.185389511,0.135859085,0.041700321,0.383309712,0.315457225,0.004706433,-0.002928614,-0.070499916,-0.071667541,-0.892508767,0.120845379,-0.064404391,-0.133983828,0.02288378,0.011236855,-0.044678728,0.009589196,-0.029885555,-0.01276587,-0.099485915,-0.02364338,-0.003312862,-0.018278175,0.01934618,-0.023054838,-0.012651358,0.002572908,0.008401869,0.051394942,0.045495371,0.003345006,0.008158757,-0.003891629,1.49406490966559e-05,0.001149872,1.16258510041581e-05,-0.157261861,-0.001996158,-0.032190138,-0.104319711,-1.237271253,0.337759229,0.549672624,0.263521708,-0.087806071,-0.049432199,-0.020921231,0.186810271,0.087900955,-0.101744338,0.753311693,-0.122491433
GPC029760,0.203782798,0.155611682,0.302325963,-0.023405786,1.716451199,-0.037732136,-0.22777558,1.251207513,1.774821533,0.130237359,-0.101597956,0.011762279,0.018786018,-0.108496627,-0.000431266,0.105646811,0.170266005,0.126059022,0.416266887,1.093004032,0.596571517,0.388433203,-0.072512515,-0.130576537,1.066244685,3.888174057,0.045496474,0.080517358,-0.018423815,-0.01432722,-0.399783611,0.051937616,-0.011125835,-0.148785856,0.015885135,0.027300314,0.961344177,0.020095795,-0.08146194,-0.045257014,-0.447061338,-0.079984593,-0.116343576,-0.153473733,-0.066850154,-0.073300907,-0.133587632,-0.098918336,-0.086569613,0.01293464,0.007921008,-0.005726584,-0.004138188,-0.012331771,-0.0042045,-0.000710478,2.45649832421161e-06,1.390871351,0.372180318,0.274839692,0.316797688,-2.291497505,-1.233456017,-0.868119342,-0.423548426,0.134042443,0.329998041,0.10014277,-0.403668212,-0.140248503,-0.569415499,-1.40093002,-0.218966658
GPC015830,-0.248354871,-0.248677362,0.052994908,0.082564062,-0.039651418,0.128167388,-0.670637144,-1.151835979,-1.62659443,1.607021538,2.783667558,0.019638687,-0.053536239,0.155175588,0.004094339,-0.028413284,-0.239600838,-0.240956937,-0.078716977,-0.317982643,-0.261538342,-0.171468564,0.225684051,0.259084438,0.014828731,0.315457225,-0.080044241,0.022004537,-0.03634406,-0.223874354,-1.617571965,-0.001480039,-0.026797941,-0.401174954,-0.000879857,-0.00562683,0.978490363,-0.011564836,-0.242348266,-0.23320351,-2.163569266,-0.222176188,-0.304406356,-0.309377386,-0.063745674,-0.217944329,-0.314999916,-0.309848533,-0.039696453,0.026714787,-0.001875639,-0.01196491,0.003440759,0.007633155,0.013721876,0.000855106,8.6213815236482e-06,0.396627888,-0.042101468,-0.163933742,-0.217145014,-2.554377258,0.16714605,0.775249201,0.416261859,-0.112668692,-0.09093457,-0.033993641,1.137375655,-0.126200692,-0.268823525,2.068920337,-0.038305899
