Line,GEBV_DASanthesis,GEBV_DASmaturity,GEBV_DATanthesis,GEBV_DATmaturity,GEBV_fruitno,GEBV_fruitlength,GEBV_fruitwidth,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_yield,GEBV_pollenconcentration,GEBV_pollenactivity,GEBV_leaftemp,GEBV_leafminushobotemp,GEBV_growthrateplot,GEBV_growthrateplant,GEBV_height,GEBV_heightmax,GEBV_leafangledaily,GEBV_leafanglemean,GEBV_leafanglenoon,GEBV_leafanglemidnight,GEBV_leafanglemidnightminusnoon,GEBV_leafanglebright,GEBV_leafanglelow,GEBV_leafanglelowminusbright,GEBV_leafanglecold,GEBV_leafangleHot,GEBV_leafanglecoldminushot,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaindex,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_leafinclinationmean,GEBV_leafinclinationhot,GEBV_leafinclinationcold,GEBV_leafinclinationbright,GEBV_leafinclinationdark,GEBV_leafinclinationnoon,GEBV_leafinclinationmidnight,GEBV_lightpendaily,GEBV_lightpenmeanplot,GEBV_lightpenmeanplant,GEBV_huedaily,GEBV_huemean,GEBV_huebin0,GEBV_huebin1,GEBV_huebin5,GEBV_ndvimean,GEBV_ndvibin0,GEBV_ndvibin1,GEBV_ndvibin2,GEBV_ndvibin3,GEBV_ndvibin4,GEBV_ndvibin5,GEBV_green,GEBV_greenb0,GEBV_greenb1,GEBV_greenb2,GEBV_greenb3,GEBV_npcimean,GEBV_psrimean,GEBV_biomassfinalplot,GEBV_biomassfinalplant,GEBV_heightfinal,GEBV_heighmaxfinal,GEBV_leafareafinalplot,GEBV_leafareafinalplant,GEBV_leafareaindexfinal,GEBV_leafareafinalprojectedplot,GEBV_leafareafinalprojectedplant,GEBV_lightpenetrationfinal
GPC000030,5.458478764333333,-0.170617803,5.458478767999999,-0.170617803,-45.86668668,-1.552166756,3.1010201176666663,-3.157716695,43.68936321333334,1.027179008,7900.214017666666,-3.029422196,-0.077786103,-0.079376344,-1116245.512,-281.7728121,-0.725870283,-1.034070883,-0.063401724,-0.818154753,-0.820876809,-0.76643744,0.039653872,-0.682590483,-0.312658103,0.091239015,-0.979678233,-1.237190395,0.11033925200000001,-1967.584468,-487.4898898,-0.020283504,-1149.376162,-289.0354552,0.020692563333333334,0.012822295,0.043018892333333336,0.029261345000000005,0.017820563666666664,0.035614327,0.03292099,0.7117287600000001,-15.51408615,-3.557138964,-0.052861983,-2.667909074,-7.59E-04,0.027436645,-2.35E-04,-0.011844677,-0.00253186,0.004213717,0.015510239666666667,0.016403731,-0.02565974,-0.012388673,0.001468139,-0.010971733,0.0044421,7.224416666666667e-4,-4.10E-04,0.03605348,0.010788091,-63376347.1,-15978.01863,-7.168818542,-65.22744992,-109400.4203,-16381.11993,-0.094643219,-63131.11998,-158.6406673,3.7238610183333343
GPC000040,10.772769014666666,2.0517217226666666,10.772769078000001,2.0517217226666666,-47.33564915,-2.093130461,4.294881627333333,-3.665282978,55.12225381333334,-1.078934345,6369.294697333334,-4.964067862,-0.234306943,-0.235764026,-940987.1297,-243.8543023,-0.095678758,-0.908792741,-0.069972046,-0.784133141,-0.476786415,-0.480259653,0.019639916333333333,-0.19708833,-0.78024507,-0.106989584,-1.050557336,-1.009793325,0.40705819400000004,-1705.067736,-436.5191155,-0.019551661,-1068.229437,-273.4313322,-0.00578875,-0.017435113,0.049092131,0.00461423,0.040452188,0.014289125666666666,0.013550850666666664,0.7806185043333334,-19.87907077,-4.222630787,-0.03263597,-3.740724694,-2.63E-04,0.027671243333333335,-0.002842996,-0.018202047,-0.00168341,0.001773948,0.014625820999999999,0.018338411333333332,-0.027125709,-0.018630119,-0.001585152,-0.007477413,0.010074679666666668,-0.006420908,-0.005460834,0.036481181333333335,0.010463875,-58378697.74,-15045.76366,-6.032272618,-84.06374003,-105178.5757,-16109.07599,-0.091584488,-59358.02108,-152.1773861,19.202178869666668
GPC000130,5.236889930666667,3.7746871816666663,5.236889959666667,3.7746871816666663,-1.311892181,-1.618777311,0.259766413,-0.204841595,6.949572609666666,-2.897364641,-2586.979007,-2.784226293,0.094243094,0.092918133,-276769.3816,-64.85392637,0.22415431766666663,-0.120879292,-0.020088681,-0.257076143,-0.541066731,-0.54663148,-0.006888901,-0.485782385,-0.23337497,0.068845431,-0.688818489,0.2535032923333334,-0.964223294,-705.2572993,-181.7866985,-0.01390483,-432.6742365,-102.4006321,0.028053383666666664,0.027987416,0.026752482000000005,0.019714262666666666,0.010328281666666666,0.021086960000000002,0.020954703666666668,0.142198559,-1.010978031,0.34947094600000006,0.032119412666666666,-0.691478338,0.00942377,-0.007514838,0.006014419,0.00665359,-0.001629937,6.922176666666666e-4,0.00149199,-0.002658506,-0.003651775,0.010889141666666666,-0.010351876,0.020268568666666667,-0.006582795,-0.007467803,-0.00122959,0.009259813,0.00165088,-6414053.36,-1346.472333,0.5690415109999999,-5.650782887,-34451.29113,-5822.562298,-0.029512355,-20418.04041,-47.72884332,-0.707421182
GPC000140,2.7832550040000004,1.0367393070000002,2.7832550266666662,1.0367393070000002,37.075386423333335,-0.778765669,-0.525419938,0.3144781893333333,-2.298623664,-1.221703562,-2188.294074,0.8796871206666665,-0.01413835,-0.015340957,659089.3468333333,159.40658523333335,1.848660994,1.534261499,0.001209708,-0.265558689,-0.407318371,-0.409075003,-0.00899588,-0.562816795,0.096627435,0.3916744386666667,-0.173166945,0.22715409166666667,-0.523744792,105.21296320666666,24.387191326666667,-0.004042524,18.83814942666666,-0.913721157,0.028206575333333334,0.036535795,0.011215041666666668,0.023862123,7.170333333333511e-6,0.021241998999999998,0.020517290666666663,0.260195336,8.385147554666666,1.9325560700000002,0.037941959333333324,1.0808217146666668,0.002851525,-0.011174103,0.004474996,0.010193702666666667,-0.00201895,-0.002888254,-0.00585945,-0.011071075,0.006110414,0.017533812666666666,-0.006555876,0.010303728,-0.004568241,-0.001997724,-8.24E-04,-0.006310727,-0.004517411,50133151.873333335,12321.648754000002,9.441802698,88.19829120333334,18142.84768,1653.074457,0.015925283666666668,7200.287584999999,14.696959255333333,9.571782772
GPC000150,3.7802684540000002,2.8777637420000004,3.780268466666666,2.8777637420000004,-9.964589461,-1.62638239,1.230564191,-1.582158187,20.511245898333332,-1.079780224,3317.3326256666674,0.078229155,0.036763818999999996,0.035830965,-24732.7261,-11.12914651,0.8796470156666668,0.641305688,-0.031510468,-0.91318424,-1.08642595,-1.066349628,0.015091109,-0.95123977,-0.516529033,0.16726372166666667,-1.289588599,-0.741899422,-0.646366995,-930.3383139,-236.6031124,-0.012608665,-582.2780237,-149.5420145,0.045948268,0.039511185,0.056037928,0.042357334,0.02599712,0.048569068,0.046676192,0.5086940679999999,4.755035834,0.9051892313333334,0.028644128,-1.277756206,0.004723882,0.004009724,0.005318818,-0.001230915,-0.001911789,0.002120854,0.007720567,0.003089104,-0.011875817,5.400143333333336e-4,-0.009412713,0.008892352,-0.001132463,-0.002877146,-0.002733222,0.013329868333333333,0.004043449,5443647.261466664,1175.8088461333327,3.7955553539999998,31.422123732666666,-46558.40769,-7916.300739,-0.040126811,-30557.06172,-78.41451672,14.629220297333333
GPC000160,4.802385226666666,0.28793771099999993,4.802385233666667,0.28793771099999993,-51.73167824,-1.461343426,3.3210593413333336,-3.3594751,51.198792493333336,0.6919862950000001,9350.369481333333,-4.401059116,0.094543086,0.092562157,-1545044.125,-389.8236683,-1.607825848,-1.468111562,-0.061345042,-1.100450603,-1.069996017,-1.029986846,0.038782952,-0.838621761,-0.321116682,0.1914548403333333,-1.042621034,-2.299940583,1.0278806556666666,-2297.377959,-569.2608126,-0.030883769,-1316.388657,-329.9413189,0.028793697666666663,0.006013674,0.040701557000000006,0.03452297,0.014055862333333334,0.042226636,0.040529208,0.293139729,-23.5685604,-4.613177538,-0.051855118,-2.020653414,-0.001224635,0.022445835,-1.78E-04,-0.012597698,-0.001980243,0.004214788,0.015963861333333332,0.015762695666666663,-0.029671774,-0.010577397,0.001605204,-0.009531365,0.001598155,-3.06E-05,3.826253333333336e-4,0.031990801000000006,0.007552458,-85142702.46,-21396.2786,-12.52968619,-109.4505988,-123619.1921,-17799.29762,-0.106843519,-71085.67254,-176.957369,-14.7622216
GPC000280,4.372083392,1.012595980666667,4.3720833846666665,1.012595980666667,-43.32142391,-1.287431049,2.606901081333333,-2.813020735,39.62403621333333,0.2736225993333332,7622.117826333332,-3.29966025,0.063870613,0.062166952,-1005629.437,-246.698574,-0.622473177,-0.750291819,-0.054468416,-1.34770686,-1.370353888,-1.325940928,0.035597305333333336,-1.132501133,-0.574609519,0.21983521299999995,-1.4321397,-2.117163611,0.561840178,-2063.170504,-504.5869705,-0.028687934,-1206.966393,-299.022586,0.044534907,0.034058098,0.060808272,0.051072542,0.027616768333333333,0.05770263,0.055261841,0.4697886576666666,-12.41087311,-2.821612556,-0.025537252,-1.280631235,-0.004869932,0.021631483,-4.57E-04,-0.007590583,-0.003508472,0.002720503,0.011951005666666667,0.010131171666666668,-0.020274565,-0.006244506,0.002270083,-0.011286238,0.003739231,0.002184821,4.392586666666668e-4,0.023426249,0.005420353,-52415394.6,-12849.90507,-5.175781361,-41.95045966,-107175.8158,-18780.76351,-0.092589301,-63664.62413,-156.8339789,-0.90029629
GPC000300,6.363789723333333,2.660978757666667,6.363789752333333,2.660978757666667,-36.14771452,-2.084398706,2.9448754983333334,-3.1178003,48.11818369,0.1841523093333334,6475.294838333332,-4.083118408,0.12041410033333333,0.11876996433333332,-654284.9394,-160.920481,0.12062497466666666,-0.08298411,-0.05253871,-0.822981452,-0.963215226,-0.897673867,0.046278163,-0.807246101,-0.508230286,0.005571501,-1.171400237,-1.29017422,0.071621119,-1859.27384,-450.9678875,-0.0242117,-1122.426956,-278.9248137,0.036154357000000005,0.022621568666666664,0.051915576,0.037242675999999995,0.02608131,0.042638949,0.039281498,0.5924382706666668,-10.40169882,-1.839191949,-0.002006615,-0.319477809,-0.005606396,0.015051882,0.001245034,-0.002160033,-0.004333046,0.001108022,0.009055698,0.007794643,-0.014640931,-0.001210672,-2.14E-04,-0.005833717,0.004751087,0.001543728,-0.001081186,0.014747399333333333,6.225066666666667e-4,-32193105.26,-7824.980551,-2.10817997,-22.7675455,-95140.37466,-14875.21723,-0.081908347,-59328.89501,-145.9856809,2.689911443333333
GPC000360,6.113938288333333,2.345728078333333,6.113938317666666,2.345728078333333,-34.69466431,-2.031085285,2.9324304116666666,-3.067082174,48.058371076666674,0.1706026130000001,6224.581752666668,-4.174621597,0.121073302,0.11944629899999999,-683994.9866,-168.0813271,0.10257779266666671,-0.068365454,-0.053306902,-0.89200366,-1.0250679,-0.955771908,0.048941133506894934,-0.840319868,-0.573022158,-0.010033562,-1.24884723,-1.405441117,0.1246563916666666,-1909.947649,-463.5753616,-0.02511076,-1152.13091,-286.3158384,0.03828597,0.024252899,0.055430107,0.039173827333333334,0.029009485333333335,0.04537355,0.041871089,0.5886065323333333,-9.641629345,-1.739250108,-0.002030892,-0.538297858,-0.005467126,0.017722627666666668,8.34694e-4,-0.003172892,-0.004209717,0.001339475,0.009906291,0.008948055,-0.015755239,-0.002683391,5.710913333333333e-4,-0.007243612,0.005213993,0.001932501,-9.02E-04,0.017010091,0.001695965,-33884350.63,-8235.120606,-2.07546426,-22.85805085,-98169.27779,-15247.41704,-0.084538918,-61056.27217,-150.2866388,3.637011066000001
GPC000390,5.792660200666667,4.405306419333333,5.7926602313333335,4.405306419333333,-0.138111948,-1.736968575,0.23948669433333333,-0.133589107,7.109432170000001,-3.045963971,-3053.173654,-2.811197649,0.10076489200000001,0.09940941,-233474.7017,-53.94327965,0.291343717,-0.081644023,-0.01951568,-0.264789132,-0.568243226,-0.571450287,-0.00556976,-0.493604239,-0.285467805,0.037894696,-0.734212536,0.31276472699999996,-1.045298595,-692.9499496,-178.6214975,-0.01363833,-431.619943,-102.1177342,0.030499583,0.029818650000000002,0.028880665666666666,0.020623729666666667,0.012670425666666665,0.022680319,0.022382877333333332,0.14085477033333332,-0.318321244,0.4288492476666667,0.037208286,-0.619856244,0.009385844,-0.007699695,0.006250883,0.007687681,-0.001835228,3.4512533333333327e-4,0.001124481,-0.00296274,-0.002890376,0.011858299000000001,-0.010315928,0.020496742,-0.006934682,-0.007218018,-9.81E-04,0.009080202,0.001473422,-3408219.23,-593.2362993,0.9632554619999999,-2.410384918,-33484.11241,-5879.282549,-0.028661845,-20146.53613,-47.05419435,-0.390346941
