Line,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC000010,-0.300580665,-2.899924479,-1.110575613,4.869778573,1.689580612,1.514339925,-1.936619945,-1.722356832,-0.169278067,8.86584172,0.278250472,-4.451879649,-0.122714649,8.290384276,-21.74358251,-1.600029578,-0.229315975,-0.458548802,-7.986284626,-1.243117353,-53.57620267,6.680496055,-0.034203626
GPC000020,0.090256643,-6.964091265,1.706400206,-4.044191835,-4.694670908,-4.561600219,6.052073103,4.240061364,0.531965552,-4.99199164,0.043080548,-3.37399105,-0.361927558,-3.174599845,39.93869462,2.642724138,0.077700219,0.426153508,-7.760178957,1.117233766,104.655298,-13.29266686,0.051629814
GPC000030,-0.552979583,-8.021254549,0.844114738,-1.463314827,-2.01912582,0.428176596,-3.911013455,-1.771950905,0.705069703,-2.528050086,0.09093105,-0.469062012,-0.393623128,-2.617344172,15.3317842,1.570394698,-0.240430416,0.512364256,-18.00036061,0.456819127,104.8327756,-0.18355362,0.030052252
GPC000040,-0.924666331,-4.327207588,2.522391369,2.087156021,3.476518572,-0.482000625,-1.639379054,-0.675604984,0.720781483,0.698094353,0.086018978,0.428962498,-0.424185574,-2.178499989,28.71865348,2.070047488,-0.820124969,0.502505779,-15.53888378,0.59345597,144.5632096,-10.45394561,0.022024942
GPC000050,0.082778933,-5.707646236,0.214223828,-1.84204162,-4.050568001,-1.155952536,-0.546303832,-0.419922157,0.716107625,-3.175347945,-0.015306192,-2.115450888,-0.331483303,-2.771567863,17.93035428,1.660373989,0.097784878,0.290356776,-13.67050931,0.201882023,18.63165754,-9.38256811,0.01858372
GPC000060,-0.664808586,-11.97502001,3.238720999,5.623945076,11.28430357,0.676204432,0.702516615,0.7883917,0.41957331,-1.653141778,0.040394786,-5.95639844,-0.508818165,-2.964632094,24.98160233,2.001864741,-1.393102621,0.286878778,-31.2057647,0.951387696,70.12448252,-8.433053792,0.059699459
GPC000070,0.608647322,4.367458195,1.000266218,-4.251244308,-7.606029996,-0.557939905,-2.30741869,-1.795032111,0.467510361,3.366777896,0.077567246,-4.500185525,-0.279751199,-0.054070067,-9.249447491,-0.089530779,0.227370379,-0.219736113,7.884092316,-0.73679825,-14.38336532,-11.30684313,-0.024659798
GPC000080,0.324648696,1.651717608,0.800027669,-1.685528624,-4.729283215,0.623976241,-2.771215253,-1.869597949,0.268996153,1.319592382,0.015425549,-4.608883349,-0.129821717,0.067254478,-15.90688109,-0.349163678,0.061015088,-0.346726063,7.204550842,-0.754072138,-53.52011375,-8.100474402,-0.023986868
GPC000090,-0.292056336,-2.703457816,-1.113244743,4.908955031,1.829080696,1.425330286,-1.974223066,-1.744262553,-0.167788032,8.850278216,0.274944272,-4.267235608,-0.131198272,8.209088183,-22.2025293,-1.610416564,-0.233881416,-0.44798736,-8.448838701,-1.269372609,-51.12178551,7.418228052,-0.034171031
GPC000100,1.098122639,5.683194899,0.756370052,-3.936382347,-6.420025901,-3.540940886,-2.132941628,-1.234701553,-0.12479531,2.716059077,-0.122752613,-4.40998133,0.169884446,2.334674535,-20.54932509,-1.408826303,0.396916549,-0.427623846,22.55658389,-1.633468662,-181.4693264,5.831178696,-0.041105824
GPC000110,0.04460059,-0.641441944,2.166332572,-4.677528048,-8.102493136,-0.48986303,-3.671641503,-2.080738779,0.460073983,3.10044452,0.009672968,-1.810784034,-0.265767674,-0.116776141,3.252337562,0.259229389,0.283705798,-0.171264787,-1.466342482,-0.391144839,-42.23788554,-4.460497283,-0.022837114
GPC000120,0.439986383,-7.082298145,0.70902772,-2.378643143,-7.929596503,0.747053461,0.542366534,-0.291896599,-0.30121273,1.93064283,0.260427632,-10.58274562,-0.12739805,2.087481861,-26.30572218,-1.063373314,0.417666559,-0.339030339,-18.01822029,-0.712869605,-108.668722,14.83447913,-0.014425693
GPC000130,0.17814304,0.638982907,-1.977170814,-0.469343833,-2.493026556,5.175073875,5.4751287,2.976159534,-0.59461158,-6.544357372,-0.495678564,6.122014998,0.431268759,-0.984533623,-46.02650656,-2.028014736,0.284148721,-0.352379088,21.30846477,-1.977086079,-469.8271694,6.652438016,-0.059801529
GPC000140,-0.757960788,1.850009614,-0.75342825,-0.881872179,-3.468636267,5.910967357,5.697992499,3.398825158,0.236049552,-1.978226712,-0.045016821,6.381894178,0.289003497,-0.178847452,-38.46102665,-1.465297943,0.217700058,-0.434648778,-5.051771633,-1.885613367,-405.5241359,-10.44078146,-0.052679617
GPC000150,-0.97341483,-7.170935784,1.587066319,-5.974053554,-9.112453038,1.467025279,1.445657584,0.886300158,1.525309089,-2.214613903,-0.17286347,6.913024797,-0.096740284,-2.46254351,27.33105711,2.829598348,0.022772224,0.999346554,-26.81530635,0.265480816,-162.6274474,-13.6607836,-0.02109469
GPC000160,-0.820685927,-11.05475847,2.862900565,-7.0375212,-6.62088492,-4.15260777,-3.513264735,-2.045709694,0.760532643,-0.19974993,0.036150207,-2.755079436,-0.575071817,-2.259633444,89.34594581,3.544239929,0.156925332,0.478092776,-29.40347691,1.833159212,303.291931,-13.83911846,-0.008724108
GPC000170,-0.438618971,-11.04969168,1.328173093,0.888236708,1.116197042,0.020466574,-1.453943966,-0.772732818,0.439190369,0.736551889,0.159822038,-5.239187595,-0.347911686,-0.999729774,13.61050219,1.178031381,-0.514697425,0.161565785,-17.82096732,0.147701415,64.18460758,-9.276600402,-0.002615081
GPC000180,-0.71425319,-10.47593346,3.061168884,-6.597879008,-5.677902714,-3.607062857,-2.795132633,-1.81599058,0.418764117,-0.422824363,-0.031705833,-2.260721445,-0.58413798,-2.159320375,89.38658708,3.487052141,0.095410725,0.425020722,-20.82851325,2.102694928,288.7611592,-9.849137927,-0.021977977
GPC000190,-0.910845722,-4.208563328,2.302050153,-5.787366901,-6.913336021,-1.238074936,-1.621623851,-0.568230465,0.379073858,-3.190003321,-0.057831665,1.733888148,-0.362245928,-2.842513011,36.48511397,2.080538882,0.314038361,0.266873177,-4.765527812,0.94870905,68.22336745,12.07845675,0.00047743
GPC000200,-0.789882,-9.352530661,3.676891347,6.039945792,12.32001244,0.70590927,1.482612274,1.080283006,0.239072439,0.027377021,0.076441009,-3.912867958,-0.421653014,-1.942676907,24.96666297,1.67156435,-1.420839543,0.265142505,-26.80141476,0.719607916,38.04626035,-15.92686048,0.052065129
GPC000220,-0.622861803,-0.703203606,0.510299119,-3.241499367,-3.547884319,-2.106842547,-3.430895104,-1.889629065,0.324565366,-3.317185517,-0.067793892,1.864488307,-0.353596263,-2.156365261,37.83011361,2.132382097,0.114576032,0.432367167,-7.837992174,0.852227451,80.02806503,-23.67797475,0.005069019
GPC000230,-0.866069465,-8.97233069,2.894276514,1.439571329,3.25768115,0.109367978,-0.777296677,0.094890112,0.181500474,-1.211828941,0.052893048,-6.043105743,-0.481869849,-2.44635573,27.12127386,1.755422657,-0.778095906,0.251528792,-29.06638076,1.091812711,41.98413215,-4.982693614,0.071206486
GPC000240,-0.772293392,-7.156167766,1.408468297,-1.85600458,-3.095526033,-0.941098091,-0.866469412,-0.618680529,0.671206115,0.887395709,0.094649232,-1.533288421,-0.481800374,-2.068939804,47.60449753,2.375791649,-0.156144094,0.405415821,-11.77965308,0.734615115,159.3960142,0.871857594,0.005282439
GPC000250,-0.814944528,-6.223718009,1.838613794,-2.540232617,-4.583561459,-1.597898965,0.952750561,0.582629252,0.703509613,5.487716588,0.088785905,3.887081523,-0.474351844,-1.839330271,49.80364896,1.744419998,0.051923479,0.441703474,-2.121543805,0.267400687,136.0920807,-6.254909941,-0.011325888
GPC000260,0.021082182,-4.506845941,1.378741197,0.432899138,0.511065079,-0.990974731,1.44332077,1.467498805,0.455423627,0.004555629,0.028561013,0.404528431,-0.280153176,-0.467769193,12.23171319,0.817621008,-0.031331048,0.30835649,-15.53686574,0.323932364,-42.36559799,-4.961121065,0.034756939
GPC000270,1.158737318,2.347946733,0.881774153,-1.791292231,-4.489482753,0.318951116,-3.864478116,-2.499857141,-0.277354973,0.909541728,-0.052481559,-3.473634318,0.173833406,1.861394717,-28.3418891,-1.551029516,0.236510405,-0.435316191,10.27003349,-1.768517682,-188.2694817,-21.99275804,-0.056068998
GPC000280,-0.542874261,-9.614819628,3.00212999,-6.977879379,-7.023338715,-1.710990748,-0.209732598,0.199335315,0.71098646,-2.17650817,0.056636714,-5.458342725,-0.463853255,-2.478094306,33.12488191,2.386129404,0.200411237,0.24298309,-17.5803978,0.491727753,105.88334,-12.82078123,-0.015898789
GPC000290,-0.746170725,-7.516585696,3.254594323,-6.394305018,-4.736572906,-3.174399151,-1.586908636,-0.444697205,0.689205125,-0.610632725,0.043240991,1.814200457,-0.583438499,-2.710964503,76.76747281,3.353896634,0.106519397,0.417130495,-19.24918291,1.667909858,244.674645,-6.743231231,-0.005994299
GPC000300,-1.14588054,-2.706570004,3.293595274,-8.074520984,-7.813610635,-2.747788585,-1.913872245,-0.704207652,0.418410002,0.635777879,0.077325785,3.337320571,-0.558362168,-1.98885691,68.37815858,2.797101699,0.24557333,0.319129471,-13.82524759,1.865488593,210.1091839,-14.74411703,-0.02282856
GPC000310,-0.821230725,-8.515857576,5.027139824,-0.46227675,6.136162186,0.163961268,2.350502453,2.190410111,0.174353195,-4.218724977,0.091599638,-4.472043698,-0.244196993,-3.43236787,19.94650731,1.871376488,-0.939001875,0.301465611,-13.96457022,1.11269482,24.62975355,-2.161160229,0.053665504
GPC000320,2.655427129,-10.47676376,-0.385246666,6.673249551,6.973661787,7.471116758,2.490860922,2.728631485,-0.741210077,-4.230965786,0.161930682,-6.804469195,0.450316653,1.793282216,-59.82002012,-3.404818234,-0.354830629,-0.666540135,-28.20201375,-2.804811467,-422.236886,82.87356695,-0.079147828
GPC000330,0.597238685,-3.404656863,2.116663353,0.435804556,-0.076675592,7.2878942,4.708975078,3.450604941,-0.598794306,-7.623618067,-0.100611499,1.812461653,0.394114146,-1.993874303,-37.86944986,-1.702610645,-0.123116934,-0.137162534,-10.60947622,-1.386902891,-394.5114385,32.39825348,-0.018995321
GPC000340,1.198046545,-11.69035474,13.94002775,3.452272965,12.49936866,8.053947563,6.623404463,4.710289777,-0.81757445,-6.227317473,0.191968109,-3.750348418,0.283540006,-0.934449994,-42.46167288,-2.338423204,-1.48069974,-0.380132673,-11.52944482,-2.238300974,-308.361622,121.7377932,-0.053746583
