Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC000030,Core,-1.880418877,-3.807986824,1.508831671,-0.63410189,-2.597940218,-8.922003233,-1.122066498,-1.920472042,0.977365468,0.071433858,-0.064006876,4.13677979,-0.878727639,-3.166829848,87.12636587,4.1597117,-0.27504887,0.78343147,-12.62087092,2.895813463,307.6127189,-31.71126374,0.072985261
GPC000040,Core,-1.537539146,-3.934523858,0.428836613,4.07646026,2.077875374,-7.916708875,-0.954562214,-1.295045944,0.738625704,0.442729594,-0.045257665,2.348982343,-0.781063476,-2.742723439,63.80826223,3.304041406,-0.581307229,0.578643645,-13.18321525,2.18335657,197.6438952,-27.25081134,0.05505128
GPC000130,Core,-0.514759105,0.106530082,1.560938821,-0.818483144,-0.241841019,-2.637781082,-0.231075976,0.077176381,-0.02224117,-1.218941406,-0.054890924,3.314935559,-0.21223028,-0.822613161,23.55790674,0.798394812,-0.056103253,0.068504489,0.921419031,0.718962626,17.85483365,13.08458633,0.022982909
GPC000140,Core,-0.49432581,1.836744985,-0.952758218,0.825368375,-0.865605593,1.300455866,0.074729392,0.324227666,-0.273334302,-0.411811563,0.032409569,4.199411199,-0.046769493,0.54476046,-0.290477684,-0.489642496,0.087616352,-0.374296565,13.35015445,-0.096157315,-65.01047561,32.74966028,-0.002368243
GPC000150,Core,-0.855916721,1.69379639,1.532973866,-2.358526879,-2.349817581,-4.521378733,-0.252087386,1.276014137,0.284949255,-0.420752347,-0.101061189,4.707781303,-0.399275061,-1.455197362,40.31216776,1.751381669,-0.091957478,0.235356992,7.372963973,1.11999543,114.0618334,-2.970036803,0.028317951
GPC000160,Core,-2.073538589,-4.388972048,3.737598091,-1.752059667,-0.729442119,-8.453395856,-1.158731415,-2.21790846,0.807071736,0.783067049,-0.028799951,3.266754538,-0.928520442,-3.296168529,113.7879859,4.785626296,-0.329605799,0.702735181,-17.00977572,3.522508899,388.6461416,-34.21992129,0.061437926
GPC000280,Core,-1.341042177,-1.509673529,2.756529106,-5.989664861,-5.996053345,-9.633406179,-1.017956457,-0.99959699,0.807833052,1.433239773,-0.089038707,5.842165552,-0.831158543,-2.61341295,88.97171777,3.787516871,0.146089486,0.707623902,-3.481172817,2.477856716,317.2955255,-26.55392567,0.048142315
GPC000300,Core,-1.706501554,-0.515705009,3.707138586,-6.696343862,-5.742563011,-8.683565092,-1.014439095,-0.94463559,0.801642804,0.509701074,-0.087773244,7.831365209,-0.814236563,-2.851647107,106.4314332,4.279658893,0.096639788,0.739125289,-1.65215212,2.790455082,350.6260986,-23.22279706,0.039572707
GPC000360,Core,-1.693101991,-0.432755318,3.517203052,-6.448597311,-5.458250305,-8.640400391,-0.997560189,-0.8277614,0.801339225,0.469204105,-0.080520783,7.915813429,-0.795557914,-2.813568693,105.9704501,4.266908724,0.081772672,0.734400607,-1.382801744,2.751001885,351.7400691,-21.80727315,0.03827696
GPC000390,Core,-0.548879952,0.600579143,1.573634478,-0.787611792,-0.210478073,-2.585384193,-0.216818453,0.129129889,-0.03931223,-1.39232999,-0.06033716,3.654285004,-0.211891384,-0.812298255,24.21229668,0.809559664,-0.067185078,0.052431826,1.650134671,0.746578663,17.79465696,14.7018845,0.024859284
GPC000760,Core,-2.318254056,-4.273540494,2.318342991,-6.283036285,-8.112066035,-31.37841041,1.464566744,20.2085637,1.942657344,1.484962129,-0.333603417,7.87946964,-1.005640387,-3.421883233,112.8361432,5.603275968,0.338379258,0.976682083,-26.4366823,1.75615503,346.9036107,-34.67440605,0.03919722
GPC000800,Core,-0.555948563,0.071482177,1.236352888,-0.960443254,-0.566818668,-2.584134413,-0.179153249,0.294875168,-0.04275159,-1.437166849,-0.064171728,2.970434779,-0.224977709,-0.734057714,25.08773531,0.819021149,-0.015454145,0.048865288,1.149322935,0.762721651,19.39379745,13.17992171,0.024461019
GPC000830,Core,-0.298265955,0.530781391,1.057519961,2.532962604,4.30578921,-1.197527886,0.244390981,1.434548636,-0.237049191,-2.800763617,-0.065401929,3.270810283,0.013042317,-0.150372901,2.792660298,-0.187236826,-0.338791656,-0.046950586,3.501664498,-0.115326195,-92.87297569,37.29616543,0.017500216
GPC000850,Core,-0.002753896,1.119960551,1.077201627,-0.980212074,-0.354061841,-3.287432185,-0.199607072,0.253444757,-0.045635423,1.235143042,-0.043804581,2.039263913,-0.13847422,0.659992652,8.08015921,-0.010093916,0.038569238,-0.042335295,5.092557812,0.042913017,-30.34208761,4.5976248,0.00338437
GPC000870,Core,-0.60565446,0.362831261,1.328241253,-0.861007556,-0.399506705,-2.585423765,-0.199649181,0.215895374,-0.054664106,-1.461269787,-0.062416789,3.381438576,-0.229574455,-0.784918545,26.28834342,0.856147609,-0.030399808,0.045960619,1.262825807,0.802526129,17.88350147,13.45620016,0.023041488
