trait,r.mean,r.sd
Pericarp_thickness,0.854,0.008
Fruit_maximum_width,0.853,0.007
Total_fruit_number,0.844,0.011
Fruit_weight,0.81,0.01
Total_fruit_weight,0.775,0.011
Fruit_pungency,0.744,0.013
Fruit_maximum_length,0.726,0.015
Locule_number,0.713,0.007
Fruit_fasciation,0.679,0.022
Fruit_shape_index,0.672,0.018
External_immature_fruit_color_green,0.608,0.027
Total_plant_height,0.579,0.026
Immature_fruit_external_color_L,0.577,0.031
Fruit_external_color_a,0.564,0.014
Brix,0.555,0.02
Axis_length,0.535,0.024
Flowering_time,0.499,0.039
Immature_fruit_external_color_a,0.469,0.041
Immature_fruit_external_color_b,0.463,0.027
Fruit_load,0.282,0.034
Fruit_external_color_L,0.141,0.052
Fruit_predominant_shape_oblate,0.103,0.019
Fruit_external_color_b,0.092,0.07
biomassfinalplant,0.676154259,0.014300221
biomassfinalplot,0.685312683,0.010556826
DASanthesis,0.616495972,0.014665984
DASmaturity,0.631202092,0.014850987
DATanthesis,0.612386483,0.015942827
DATmaturity,0.638441176,0.015650598
fruitlength,0.771002795,0.011101021
fruitno,0.499084844,0.022689371
fruitshapeindex,0.553707751,0.038701208
fruitweight,0.678713721,0.007220338
fruitwidth,0.818849285,0.004262455
green,0.367627742,0.038441279
greenb0,0.472035966,0.051250622
greenb1,0.600859729,0.018015537
greenb2,0.340400818,0.035704558
greenb3,0.210719731,0.035032699
growthrateplant,0.66354948,0.013728599
growthrateplot,0.673095735,0.012232278
heighmaxfinal,0.590213114,0.017595167
height,0.623923129,0.014458754
heightfinal,0.62141027,0.016278679
heightmax,0.519230983,0.016133976
huebin0,0.536250727,0.037717234
huebin1,0.381422116,0.020635777
huebin5,0.498087927,0.097420914
huedaily,0.233615759,0.083603776
huemean,0.537044576,0.02405169
leafanglebright,0.36876884,0.020071088
leafanglecold,0.426412839,0.015738317
leafanglecoldminushot,0.254484123,0.018425124
leafangledaily,0.355529121,0.019553135
leafangleHot,0.507116691,0.011440877
leafanglelow,0.387660954,0.017514453
leafanglelowminusbright,0.413129801,0.018808582
leafanglemean,0.487130052,0.016124384
leafanglemidnight,0.45335711,0.014785155
leafanglemidnightminusnoon,0.355964688,0.01998318
leafanglenoon,0.445047394,0.014771788
leafareadaily,0.651636806,0.027525247
leafareadailyplant,0.662056214,0.016126007
leafareafinalplant,0.589978188,0.020817069
leafareafinalplot,0.612763071,0.028434268
leafareafinalprojectedplant,0.630864712,0.015036115
leafareafinalprojectedplot,0.657149006,0.014845898
leafareaindex,0.477685431,0.019688126
leafareaindexfinal,0.614830051,0.02401743
leafareaprojecteddaily,0.690279692,0.0192403
leafareaprojectedplant,0.666202215,0.017956061
leafinclinationbright,0.319025292,0.023906772
leafinclinationcold,0.421231503,0.013755916
leafinclinationdark,0.417799783,0.015456756
leafinclinationhot,-0.061129794,0.0431959
leafinclinationmean,0.391458815,0.021325007
leafinclinationmidnight,0.429080313,0.015662253
leafinclinationnoon,0.414809994,0.013801644
leafminushobotemp,0.122466146,0.037397555
leaftemp,0.126353597,0.028462237
lightpendaily,0.356282655,0.026215517
lightpenetrationfinal,0.422205361,0.020957787
lightpenmeanplant,0.445140824,0.021423879
lightpenmeanplot,0.485010577,0.020584412
ndvibin0,0.425585916,0.052123786
ndvibin1,0.428303884,0.018461245
ndvibin2,0.480993855,0.009524435
ndvibin3,0.525041197,0.011458347
ndvibin4,0.559219379,0.013913162
ndvibin5,0.519701311,0.017108226
ndvimean,0.521524126,0.013745161
npcimean,0.423596542,0.013500757
pollenactivity,0.383931424,0.014899504
pollenconcentration,0.411428764,0.013190163
psrimean,0.422810449,0.014970544
yield,0.559490884,0.01458237
