trait,r.mean,r.sd
Fruit_maximum_width,0.906,0.003
Fruit_weight,0.880,0.005
Pericarp_thickness,0.872,0.005
Fruit_pungency,0.822,0.006
Total_fruit_weight,0.794,0.007
Total_fruit_number,0.793,0.012
Locule_number,0.781,0.009
Fruit_fasciation,0.729,0.009
Fruit_maximum_length,0.665,0.018
Fruit_shape_index,0.660,0.016
External_immature_fruit_color_green,0.646,0.023
Immature_fruit_external_color_b,0.625,0.018
Immature_fruit_external_color_L,0.625,0.027
Flowering_time,0.624,0.022
Brix,0.618,0.014
Fruit_external_color_a,0.562,0.015
Axis_length,0.525,0.032
Total_plant_height,0.509,0.030
Immature_fruit_external_color_a,0.327,0.048
Fruit_load,0.222,0.036
Fruit_predominant_shape_oblate,0.059,0.047
Fruit_external_color_L,0.035,0.047
Fruit_external_color_b,-0.163,0.062
fruitwidth,0.8507134832731016,0.005
fruitweight,0.777,0.010
fruitno,0.6616118764888164,0.015520049600934933
fruitshapeindex,0.6615772312479133,0.012491829717834366
fruitlength,0.6504842055202084,0.015
leafareaprojecteddaily,0.6193997043512937,0.013320158992959234
leafareaprojectedplant,0.6117402918994533,0.013359556620653926
leafangledaily,0.6025260831897836,0.014421381745095333
leafareafinalprojectedplot,0.5817959501529046,0.014311997162098036
leafareadailyplant,0.5795768897235847,0.015
leafareadaily,0.5775548890138987,0.017041098227574866
leafareafinalprojectedplant,0.5719103431522654,0.015082144111596866
yield,0.5684027669507377,0.021622408692911366
growthrateplot,0.555,0.019479462701755566
biomassfinalplot,0.553,0.019989464781363632
leafareaindexfinal,0.5419907132270003,0.017391603538466468
leafareafinalplot,0.540,0.014443451552104367
biomassfinalplant,0.5342664431775029,0.022518235721985067
growthrateplant,0.5338840503078086,0.021262923628997833
leafareafinalplant,0.5263528242873217,0.016
greenb1,0.5202349368945183,0.041
ndvibin4,0.487,0.023
ndvibin2,0.47956760699342765,0.021827230960271934
DATmaturity,0.47623478297922933,0.023551642388803466
DASmaturity,0.4731919388751087,0.023635850014555166
ndvibin5,0.45453209978615067,0.031
ndvibin3,0.42418284225326963,0.023
leafanglemean,0.42057225177495333,0.024684885922169032
leafanglenoon,0.41728933778794164,0.026318677468731934
leafanglemidnight,0.415,0.029662498430696932
height,0.41432990063156766,0.032553323196974265
huebin0,0.41238636690593233,0.043580755401327234
heightfinal,0.4047718733118867,0.029557797259053734
leafinclinationmidnight,0.40257057685344266,0.029
leafareaindex,0.39875767070382334,0.025632543977127865
leafinclinationnoon,0.39347780292115997,0.028
DATanthesis,0.390,0.031438077129938805
DASanthesis,0.38623936074686765,0.030
huebin5,0.383,0.095
ndvimean,0.377,0.027
huedaily,0.377,0.030
heighmaxfinal,0.36264456195889566,0.033990687712857265
psrimean,0.35776214986632066,0.026596580573024633
huebin1,0.3525286058261993,0.040
pollenconcentration,0.351,0.027
leafanglecold,0.34545790531179466,0.032
greenb0,0.3451984042110567,0.071
ndvibin1,0.34268708772117834,0.031477062012902464
leafangleHot,0.3415491271844124,0.030972985525044634
heightmax,0.340,0.036111490146312764
npcimean,0.33147498869399766,0.026978542333025365
leafinclinationcold,0.320,0.033
huemean,0.31963523656135967,0.038
leafinclinationmean,0.31717733561388467,0.040803975846764665
leafanglecoldminushot,0.31348915191514864,0.035
green,0.28912107969705936,0.098
lightpendaily,0.2831667912046667,0.034
ndvibin0,0.2815792392101767,0.034
greenb2,0.25716248634233735,0.057
leafinclinationhot,0.252,0.036
leafinclinationdark,0.2489939563213477,0.041888173676234465
leafanglelowminusbright,0.2468798927880311,0.040930071542484965
lightpenmeanplot,0.2380929034313727,0.037
leafanglelow,0.2375266706215568,0.039
pollenactivity,0.23198440145513666,0.038943355844490664
lightpenetrationfinal,0.20884309572226634,0.040653107201818535
leafanglebright,0.19975193686867063,0.043
leafinclinationbright,0.17814445738903298,0.045801546670404966
leafanglemidnightminusnoon,0.17726192779829794,0.044758537341584435
lightpenmeanplant,0.16971827905507597,0.042
greenb3,0.1687488352205405,0.051061942561676135
leafminushobotemp,0.13975804707389577,0.049
leaftemp,0.13919952567638857,0.049
