trait,r.mean,r.sd
Pericarp_thickness,0.854,0.008
Fruit_maximum_width,0.853,0.007
Total_fruit_number,0.844,0.011
Fruit_weight,0.810,0.010
Total_fruit_weight,0.775,0.011
Fruit_pungency,0.744,0.013
Fruit_maximum_length,0.726,0.015
Locule_number,0.713,0.007
Fruit_fasciation,0.679,0.022
Fruit_shape_index,0.672,0.018
External_immature_fruit_color_green,0.608,0.027
Total_plant_height,0.579,0.026
Immature_fruit_external_color_L,0.577,0.031
Fruit_external_color_a,0.564,0.014
Brix,0.555,0.020
Axis_length,0.535,0.024
Flowering_time,0.499,0.039
Immature_fruit_external_color_a,0.469,0.041
Immature_fruit_external_color_b,0.463,0.027
Fruit_load,0.282,0.034
Fruit_external_color_L,0.141,0.052
Fruit_predominant_shape_oblate,0.103,0.019
Fruit_external_color_b,0.092,0.070
fruitwidth,0.838,0.005
fruitweight,0.7825400168676103,0.006
fruitlength,0.7423467474707444,0.010573044815286066
fruitshapeindex,0.7147325432050253,0.012
fruitno,0.6407222439200067,0.012736569320083567
leafareaprojecteddaily,0.6358979694214126,0.014
leafareaprojectedplant,0.6160860183716377,0.013611699249165768
leafangledaily,0.6028716761616394,0.011283656728203657
leafareadaily,0.599,0.015634362393152332
leafareafinalprojectedplot,0.594,0.014
heightfinal,0.593,0.017
DATmaturity,0.5918132582579373,0.017
leafareadailyplant,0.5906610090748523,0.014795575469980558
DASmaturity,0.5906422091018997,0.016010021399725433
biomassfinalplot,0.587,0.014898260207663933
growthrateplot,0.5850573991500007,0.015913705802934733
height,0.5825733842924931,0.016616085754696502
growthrateplant,0.5812996247411183,0.017022015380305667
biomassfinalplant,0.581,0.016648930652801635
leafareafinalprojectedplant,0.575,0.014547026759011343
leafareafinalplot,0.5514813272106743,0.016198088221655367
leafareaindexfinal,0.5511036488896697,0.016
yield,0.5504683602223823,0.014317499253182967
leafareafinalplant,0.5342855101491097,0.018
heighmaxfinal,0.532,0.016388707865095865
DASanthesis,0.5315626629977633,0.017
DATanthesis,0.531,0.018
greenb1,0.528,0.020364163833467466
heightmax,0.512,0.015
lightpenmeanplot,0.4799555869737863,0.018792744751396466
ndvibin3,0.47674403193323067,0.015650060595353933
ndvibin4,0.46764489338720233,0.018824146232698933
leafanglemean,0.457,0.016376933719423066
ndvibin5,0.4499815769582757,0.019
leafareaindex,0.44046036124377136,0.018
ndvibin2,0.44018319966356567,0.012810205642601833
lightpenetrationfinal,0.439,0.017991595051895366
huedaily,0.437,0.024729060426972965
greenb0,0.435,0.033126685457574336
huebin5,0.43462863295112264,0.066
leafanglemidnight,0.42902997167974966,0.019
leafanglenoon,0.42858277107349735,0.016712430301973065
lightpenmeanplant,0.42851659396445135,0.020406425862589634
leafanglecold,0.4200100106065497,0.020906527249129534
huebin0,0.420,0.029326683436938034
huebin1,0.41733544824481134,0.026
leafinclinationmidnight,0.41610888113545796,0.018613617743644967
ndvibin0,0.41553874449798434,0.028109506870947033
leafinclinationnoon,0.40822563230552367,0.018164974151631333
leafinclinationcold,0.4067473789741047,0.021172968156531868
greenb2,0.402,0.024374743101182934
ndvimean,0.39118815342519697,0.022
lightpendaily,0.38891258700238335,0.017
pollenconcentration,0.389,0.013402820714459933
npcimean,0.38783628477501264,0.016653249571864367
leafanglecoldminushot,0.386,0.018500149143979166
green,0.384,0.050
huemean,0.3834095488538057,0.026205366579052067
leafinclinationmean,0.37968683769639333,0.020
psrimean,0.37729080000372067,0.016759594026695735
leafanglelowminusbright,0.37647460186133636,0.021116851670474335
leafanglemidnightminusnoon,0.3637224242340613,0.017595179892498734
leafangleHot,0.35370975625969536,0.021162486003574066
leafanglebright,0.3486246646054733,0.018376028453310635
ndvibin1,0.34173294784673164,0.021798689389138034
leafanglelow,0.338,0.025597830200355966
leafinclinationbright,0.32711069033535434,0.019895243885619498
pollenactivity,0.30802541658418436,0.023
leafinclinationdark,0.2653360841412249,0.027923084545555834
greenb3,0.259,0.039
leafinclinationhot,0.238,0.018
leafminushobotemp,0.082,0.035
leaftemp,0.080,0.037
